EmployeeID,ManagerID,FirstName,MiddleName,LastName,Suffix,JobTitle,NationalIDNumber,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,PhoneNumber,PhoneNumberType,EmailAddress
112,26,John,P,Evans,,Production Technician - WC50,981597097,1972-07-01,S,M,2/2/2003 0:00,0,91,65,172-555-0130,Cell,john1@gmail.com
203,26,Ken,L,Myer,,Production Technician - WC40,693168613,1975-06-29,M,M,3/28/2003 0:00,0,51,45,949-555-0174,Work,ken1@adventure-works.com
245,249,Barbara,C,Moreland,,Accountant,363910111,1970-02-04,M,F,3/22/2003 0:00,1,58,49,822-555-0145,Cell,barbara1@adventure-works.com
257,250,Eric,S,Kurjan,,Buyer,381073001,1966-10-19,S,M,2/28/2004 0:00,0,54,47,265-555-0195,Work,eric2@hotmail.com
244,249,Bryan,A,Walton,,Accounts Receivable Specialist,931190412,1978-10-22,S,M,2/25/2003 0:00,0,62,51,935-555-0199,Work,bryan1@aol.com
69,26,Steve,F,Masters,,Production Technician - WC60,752513276,1985-05-07,S,M,3/19/2003 0:00,0,31,35,712-555-0170,Work,steve0@adventure-works.com
210,26,Belinda,M,Newman,,Production Technician - WC45,20244403,1963-10-19,S,F,3/24/2003 0:00,0,83,61,319-555-0126,Cell,belinda0@adventure-works.com
163,26,Alex,M,Nayberg,,Production Technician - WC45,377784364,1984-05-14,M,M,3/12/2003 0:00,0,77,58,819-555-0198,Work,alex0@adventure-works.com
118,26,Don,L,Hall,,Production Technician - WC50,222400012,1965-07-14,M,M,3/17/2003 0:00,0,88,64,100-555-0174,Work,don0@adventure-works.com
176,26,David,Oliver,Lawrence,,Production Technician - WC30,860123571,1979-10-25,M,M,3/18/2003 0:00,0,29,34,118-555-0177,Work,david7@adventure-works.com
147,26,Sandra,,Reátegui Alayo,,Production Technician - WC30,604664374,1969-12-06,M,F,1/27/2003 0:00,0,37,38,896-555-0168,Work,sandra0@adventure-works.com
138,26,Samantha,H,Smith,,Production Technician - WC20,25011600,1981-12-23,M,F,3/8/2003 0:00,0,7,23,587-555-0114,Cell,samantha0@safe-mail.net
95,26,Jim,H,Scardelis,,Production Technician - WC50,674171828,1980-10-09,M,M,1/20/2003 0:00,0,1,20,679-555-0113,Work,jim0@safe-mail.net
231,227,Jo,L,Berry,,Janitor,153479919,1948-05-25,M,F,4/7/2004 0:00,0,91,65,228-555-0159,Cell,jo1@adventure-works.com
86,26,Ryan,L,Cornelsen,,Production Technician - WC40,769680433,1966-07-15,M,M,2/6/2003 0:00,0,59,49,208-555-0114,Work,ryan0@adventure-works.com
181,26,Michael,T,Hines,,Production Technician - WC20,545337468,1978-12-19,S,M,1/10/2003 0:00,0,20,30,218-555-0126,Work,michael0@adventure-works.com
214,25,Andreas,T,Berglund,,Quality Assurance Technician,131471224,1983-04-29,M,M,3/6/2003 0:00,0,84,62,181-555-0124,Cell,andreas0@adventure-works.com
72,26,Steven,T,Selikoff,,Production Technician - WC30,443968955,1971-06-15,M,M,1/1/2003 0:00,0,41,40,925-555-0114,Work,steven0@safe-mail.net
162,26,Laura,C,Steele,,Production Technician - WC45,514829225,1975-01-26,S,F,2/4/2003 0:00,0,75,57,777-555-0141,Work,laura0@safe-mail.net
107,26,Christopher,E,Hill,,Production Technician - WC10,393421437,1980-11-01,M,M,3/11/2004 0:00,0,91,65,153-555-0166,Cell,christopher0@adventure-works.com
269,263,Dan,K,Bacon,Jr.,Application Specialist,671089628,1975-07-28,M,M,2/12/2003 0:00,1,72,56,166-555-0159,Work,dan0@adventure-works.com
187,26,Yvonne,S,McKay,,Production Technician - WC45,713403643,1983-05-17,M,F,1/10/2003 0:00,0,79,59,286-555-0189,Work,yvonne0@adventure-works.com
75,26,Michiko,F,Osada,,Production Technician - WC30,363996959,1976-07-28,S,M,2/27/2003 0:00,0,44,42,984-555-0148,Work,michiko0@adventure-works.com
12,25,Thierry,B,D'Hers,,Tool Designer,480168528,1953-08-29,M,M,1/11/2002 0:00,0,9,24,168-555-0183,Work,thierry0@adventure-works.com
116,26,Michael,W,Patten,,Production Technician - WC50,398737566,1968-06-03,S,M,3/4/2003 0:00,0,98,69,441-555-0195,Work,michael2@aol.com
30,26,Britta,L,Simon,,Production Technician - WC60,410742000,1983-10-30,M,F,3/2/2003 0:00,0,14,27,955-555-0169,Cell,britta0@safe-mail.net
198,26,Lorraine,O,Nay,,Production Technician - WC40,19312190,1982-12-28,M,F,2/5/2003 0:00,0,49,44,845-555-0184,Work,lorraine0@adventure-works.com
133,26,Michael,L,Rothkugel,,Production Technician - WC40,830150469,1985-02-04,S,M,2/11/2003 0:00,0,70,55,454-555-0119,Work,michael1@adventure-works.com
31,26,Margie,W,Shoop,,Production Technician - WC60,750246141,1980-06-20,M,F,2/5/2003 0:00,0,18,29,818-555-0128,Cell,margie0@safe-mail.net
168,26,Garrett,R,Young,,Production Technician - WC30,271438431,1978-09-26,S,M,1/8/2003 0:00,0,34,37,609-555-0179,Work,garrett0@adventure-works.com
236,235,Grant,N,Culbertson,,Human Resources Administrative Assistant,476980013,1970-05-18,S,M,3/29/2003 0:00,0,53,46,955-555-0131,Work,grant0@adventure-works.com
3,25,Roberto,,Tamburello,,Engineering Manager,509647174,1968-12-13,M,M,12/12/2001 0:00,1,2,21,212-555-0187,Cell,roberto0@adventure-works.com
199,26,Paula,R,Nartker,,Production Technician - WC40,992874797,1981-03-13,M,F,2/13/2003 0:00,0,54,47,476-555-0119,Cell,paula1@adventure-works.com
48,26,Ruth,Ann,Ellerbrock,,Production Technician - WC10,690627818,1950-07-06,M,F,2/6/2002 0:00,0,83,61,145-555-0130,Cell,ruth0@gmail.com
126,250,Jimmy,T,Bischoff,,Stocker,652779496,1979-06-05,M,M,3/30/2003 0:00,0,96,68,927-555-0168,Cell,jimmy0@adventure-works.com
230,227,Stuart,J,Macrae,,Janitor,28414965,1966-01-17,M,M,4/5/2004 0:00,0,88,64,539-555-0149,Work,stuart1@adventure-works.com
41,26,Bryan,,Baker,,Production Technician - WC60,458159238,1967-09-28,S,M,2/22/2003 0:00,0,35,37,712-555-0113,Cell,bryan0@adventure-works.com
283,274,David,R,Campbell,,Sales Representative,987554265,1968-03-14,S,M,7/1/2005 0:00,1,23,31,740-555-0182,Work,david8@adventure-works.com
226,25,Brian,P,LaMee,,Scheduling Assistant,368691270,1978-09-12,M,M,4/4/2003 0:00,0,48,44,313-555-0196,Cell,brian1@adventure-works.com
104,26,Mary,R,Baker,,Production Technician - WC10,717889520,1980-10-20,M,F,1/26/2004 0:00,0,94,67,283-555-0185,Work,mary1@adventure-works.com
263,234,Jean,E,Trenary,,Information Services Manager,441044382,1970-01-13,S,F,1/12/2003 0:00,1,65,52,685-555-0120,Work,jean0@adventure-works.com
232,227,Pat,H,Coleman,,Janitor,646304055,1965-01-03,S,M,2/28/2004 0:00,0,89,64,720-555-0158,Work,pat0@adventure-works.com
274,273,Stephen,Y,Jiang,,North American Sales Manager,502097814,1945-11-17,M,M,2/4/2005 0:00,1,14,27,238-555-0197,Cell,stephen0@adventure-works.com
81,26,Mihail,U,Frintu,,Production Technician - WC40,413787783,1965-04-09,S,M,1/30/2004 0:00,0,64,52,733-555-0128,Work,mihail0@adventure-works.com
172,26,Marc,J,Ingle,,Production Technician - WC30,364818297,1980-11-24,M,M,2/17/2003 0:00,0,22,31,234-555-0169,Cell,marc0@adventure-works.com
119,26,Michael,T,Entin,,Production Technician - WC50,334834274,1983-07-17,S,M,3/29/2003 0:00,0,94,67,817-555-0186,Work,michael4@gmail.com
276,274,Linda,C,Mitchell,,Sales Representative,191644724,1974-03-30,M,F,7/1/2005 0:00,1,27,33,883-555-0116,Work,linda3@adventure-works.com
225,25,Alan,J,Brewer,,Scheduling Assistant,470689086,1978-04-30,M,M,3/17/2003 0:00,0,47,43,438-555-0172,Work,alan0@adventure-works.com
212,25,Peng,J,Wu,,Quality Assurance Supervisor,885055826,1970-04-19,M,M,1/10/2003 0:00,1,81,60,164-555-0164,Work,peng0@aol.com
227,1,Gary,E.,Altman,III,Facilities Manager,141165819,1965-03-21,M,M,1/3/2004 0:00,1,86,63,110-555-0112,Cell,gary1@yahoo.com
97,26,Mandar,H,Samant,,Production Technician - WC50,370581729,1980-04-21,S,M,3/14/2003 0:00,0,0,20,140-555-0132,Work,mandar0@safe-mail.net
194,26,Fred,T,Northup,,Production Technician - WC40,295971920,1983-07-27,S,M,1/13/2003 0:00,0,47,43,818-555-0192,Cell,fred0@adventure-works.com
62,26,John,T,Campbell,,Production Supervisor - WC60,494170342,1950-09-08,M,M,4/18/2002 0:00,0,81,60,435-555-0113,Work,john0@adventure-works.com
115,26,Angela,W,Barbariol,,Production Technician - WC50,563680513,1985-07-01,S,F,2/21/2003 0:00,0,92,66,150-555-0194,Cell,angela0@adventure-works.com
122,250,Susan,W,Eaton,,Stocker,586486572,1972-03-20,S,F,1/8/2003 0:00,0,97,68,943-555-0196,Work,susan0@gmail.com
150,26,Michael,T,Vanderhyde,,Production Technician - WC30,878395493,1976-10-19,M,M,3/30/2003 0:00,0,35,37,296-555-0121,Cell,michael5@adventure-works.com
258,250,Erin,M,Hagens,,Buyer,785853949,1965-02-04,S,F,3/3/2004 0:00,0,53,46,842-555-0158,Work,erin0@adventure-works.com
63,26,Maciej,W,Dusza,,Production Technician - WC60,414476027,1949-03-02,S,M,3/1/2004 0:00,0,30,35,237-555-0128,Cell,maciej0@adventure-works.com
156,26,Lane,M,Sacksteder,,Production Technician - WC20,322160340,1968-10-24,M,M,2/12/2003 0:00,0,11,25,200-555-0117,Cell,lane0@safe-mail.net
238,235,Vidur,X,Luthra,,Recruiter,264306399,1978-09-02,S,M,2/2/2003 0:00,0,50,45,153-555-0186,Work,vidur0@adventure-works.com
205,26,Lori,A,Kane,,Production Supervisor - WC45,332349500,1974-08-19,S,F,3/30/2003 0:00,0,76,58,289-555-0196,Cell,lori0@hotmail.com
89,26,Patrick,C,Wedge,,Production Technician - WC10,90888098,1980-10-11,S,M,3/4/2004 0:00,0,96,68,413-555-0124,Cell,patrick0@aol.com
170,26,George,Z,Li,,Production Technician - WC30,476115505,1971-05-18,M,M,1/22/2003 0:00,0,26,33,518-555-0199,Cell,george0@adventure-works.com
243,249,Candy,L,Spoon,,Accounts Receivable Specialist,60517918,1970-03-26,S,F,2/7/2003 0:00,0,61,50,920-555-0177,Cell,candy0@safe-mail.net
49,26,Barry,K,Johnson,,Production Technician - WC10,912265825,1950-04-27,S,M,2/7/2002 0:00,0,88,64,206-555-0180,Work,barry0@adventure-works.com
220,25,Karen,R,Berge,,Document Control Assistant,260770918,1970-01-25,M,F,3/13/2003 0:00,0,79,59,746-555-0164,Work,karen0@adventure-works.com
32,26,Rebecca,A,Laszlo,,Production Technician - WC60,330211482,1971-08-11,M,F,1/30/2003 0:00,0,23,31,314-555-0113,Cell,rebecca0@adventure-works.com
24,16,Jill,A,Williams,,Marketing Specialist,72636981,1973-07-19,M,F,2/19/2003 0:00,0,47,43,510-555-0121,Work,jill0@aol.com
132,26,Nicole,B,Holliday,,Production Technician - WC40,1300049,1980-05-10,M,F,3/26/2003 0:00,0,67,53,508-555-0129,Cell,nicole0@adventure-works.com
109,26,Alice,O,Ciccu,,Production Technician - WC50,113695504,1972-02-27,M,F,1/8/2003 0:00,0,95,67,333-555-0173,Cell,alice0@adventure-works.com
111,26,Suroor,R,Fatima,,Production Technician - WC50,415823523,1972-03-28,S,M,1/18/2003 0:00,0,93,66,932-555-0161,Work,suroor0@adventure-works.com
113,26,Linda,K,Moschell,,Production Technician - WC50,54759846,1981-08-17,M,F,1/26/2003 0:00,0,96,68,612-555-0171,Cell,linda0@adventure-works.com
196,26,Shammi,G,Mohamed,,Production Technician - WC40,370487086,1974-11-05,M,M,1/25/2003 0:00,0,53,46,793-555-0179,Cell,shammi0@adventure-works.com
218,25,Tengiz,N,Kharatishvili,,Control Specialist,540688287,1984-05-29,S,M,1/17/2003 0:00,0,76,58,910-555-0116,Work,tengiz0@hotmail.com
160,26,Jeff,V,Hay,,Production Supervisor - WC45,712885347,1971-02-16,M,M,2/22/2003 0:00,0,74,57,350-555-0167,Cell,jeff0@adventure-works.com
13,25,Janice,M,Galvin,,Tool Designer,486228782,1983-06-29,M,F,1/23/2005 0:00,0,8,24,473-555-0117,Work,janice0@adventure-works.com
286,285,Lynn,N,Tsoflias,,Sales Representative,758596752,1965-04-18,S,F,7/1/2007 0:00,1,36,38,1 (11) 500 555-0190,Cell,lynn0@adventure-works.com
217,25,Zainal,T,Arifin,,Document Control Manager,345106466,1970-03-02,M,M,2/5/2003 0:00,0,77,58,204-555-0115,Cell,zainal0@yahoo.com
44,26,Simon,D,Rapier,,Production Technician - WC60,276751903,1984-06-17,S,M,1/9/2003 0:00,0,38,39,963-555-0134,Work,simon0@adventure-works.com
99,26,Nuan,,Yu,,Production Technician - WC50,431859843,1973-04-29,S,M,2/7/2003 0:00,0,2,21,913-555-0184,Cell,nuan0@adventure-works.com
96,26,Elizabeth,I,Keyser,,Production Technician - WC50,912141525,1984-02-26,M,F,4/3/2003 0:00,0,5,22,318-555-0137,Cell,elizabeth0@hotmail.com
229,227,Lori,K,Penor,,Janitor,879334904,1964-08-31,M,F,3/19/2004 0:00,0,90,65,295-555-0161,Cell,lori1@aol.com
65,26,Randy,T,Reeves,,Production Technician - WC60,8066363,1964-05-29,M,M,3/26/2004 0:00,0,29,34,961-555-0122,Cell,randy0@adventure-works.com
178,26,John,N,Frum,,Production Technician - WC30,568626529,1976-04-24,S,M,4/4/2003 0:00,0,27,33,663-555-0172,Cell,john3@adventure-works.com
26,25,Peter,J,Krebs,,Production Control Manager,277173473,1976-12-04,M,M,1/2/2003 0:00,1,43,41,913-555-0196,Work,peter0@hotmail.com
93,26,Kok-Ho,T,Loh,,Production Supervisor - WC50,778552911,1974-05-30,S,M,1/28/2003 0:00,0,78,59,999-555-0155,Work,kok-ho0@adventure-works.com
134,26,Eric,,Gubbels,,Production Supervisor - WC20,45615666,1979-02-20,M,M,2/15/2003 0:00,0,40,40,260-555-0119,Cell,eric0@adventure-works.com
151,26,Rostislav,E,Shabalin,,Production Technician - WC30,993310268,1971-10-15,M,M,3/23/2003 0:00,0,40,40,751-555-0134,Cell,rostislav0@safe-mail.net
158,26,Shelley,N,Dyck,,Production Technician - WC20,300946911,1981-01-08,S,F,4/8/2003 0:00,0,14,27,991-555-0184,Cell,shelley0@adventure-works.com
16,1,David,M,Bradley,,Marketing Manager,24756624,1969-04-19,S,M,1/20/2002 0:00,1,40,40,913-555-0172,Work,david0@adventure-works.com
135,26,Ivo,William,Salmre,,Production Technician - WC20,964089218,1976-02-04,M,M,1/5/2003 0:00,0,9,24,115-555-0179,Work,ivo0@safe-mail.net
268,263,Ramesh,V,Meyyappan,,Application Specialist,314747499,1982-04-14,S,M,3/7/2003 0:00,1,73,56,182-555-0134,Work,ramesh0@adventure-works.com
246,249,Dragan,K,Tomic,,Accounts Payable Specialist,663843431,1971-03-18,M,M,3/15/2003 0:00,0,63,51,117-555-0185,Work,dragan0@adventure-works.com
188,26,Douglas,B,Hite,,Production Technician - WC45,435234965,1979-12-26,M,M,1/28/2003 0:00,0,80,60,808-555-0172,Cell,douglas0@adventure-works.com
177,26,Russell,M,King,,Production Technician - WC30,551346974,1976-03-14,M,M,3/25/2003 0:00,0,24,32,517-555-0122,Work,russell1@hotmail.com
23,16,Mary,E,Gibson,,Marketing Specialist,767955365,1956-10-14,M,F,2/13/2003 0:00,0,46,43,531-555-0183,Work,mary0@adventure-works.com
184,26,John,Y,Chen,,Production Technician - WC20,305522471,1980-05-06,M,M,3/13/2003 0:00,0,18,29,201-555-0163,Cell,john2@adventure-works.com
284,274,Tete,A,Mensa-Annan,,Sales Representative,90836195,1972-02-06,M,M,11/1/2006 0:00,1,39,39,615-555-0153,Work,tete0@adventure-works.com
127,26,David,P,Hamilton,,Production Supervisor - WC40,750905084,1977-08-02,S,M,2/4/2003 0:00,0,73,56,986-555-0177,Cell,david4@adventure-works.com
182,26,Nitin,S,Mirchandani,,Production Technician - WC20,368920189,1981-01-01,S,M,1/29/2003 0:00,0,21,30,143-555-0173,Cell,nitin0@adventure-works.com
213,25,Sootha,T,Charncherngkha,,Quality Assurance Technician,343861179,1961-01-05,M,M,3/26/2004 0:00,0,85,62,325-555-0137,Work,sootha0@adventure-works.com
174,26,Benjamin,R,Martin,,Production Technician - WC30,585408256,1980-02-06,S,M,2/28/2003 0:00,0,28,34,533-555-0111,Cell,benjamin0@adventure-works.com
131,26,Baris,F,Cetinok,,Production Technician - WC40,273260055,1984-11-07,S,M,3/19/2003 0:00,0,72,56,164-555-0114,Work,baris0@adventure-works.com
80,26,Sandeep,P,Kaliyath,,Production Technician - WC40,943170460,1965-01-03,S,M,2/18/2004 0:00,0,65,52,166-555-0156,Work,sandeep0@hotmail.com
235,1,Paula,M,Barreto  de Mattos,,Human Resources Manager,535145551,1970-03-14,M,F,1/7/2003 0:00,1,54,47,523-555-0175,Cell,paula0@adventure-works.com
125,250,Matthias,T,Berndt,,Shipping and Receiving Clerk,584205124,1967-12-13,M,M,2/21/2003 0:00,0,94,67,139-555-0120,Cell,matthias0@adventure-works.com
1,,Ken,J,Sánchez,,Chief Executive Officer,295847284,1963-03-02,S,M,2/15/2003 0:00,1,99,69,697-555-0142,Cell,ken0@safe-mail.net
164,26,Andrew,M,Cencini,,Production Technician - WC45,65848458,1982-10-26,S,M,4/7/2003 0:00,0,73,56,207-555-0192,Cell,andrew1@adventure-works.com
249,234,Wendy,Beth,Kahn,,Finance Manager,121491555,1978-11-12,S,F,1/26/2003 0:00,1,55,47,248-555-0134,Work,wendy0@hotmail.com
189,26,Janeth,M,Esteves,,Production Technician - WC45,187369436,1966-08-25,S,F,2/16/2003 0:00,0,81,60,540-555-0191,Work,janeth0@gmail.com
39,26,Ed,R,Dudenhoefer,,Production Technician - WC60,461786517,1965-10-12,S,M,3/8/2004 0:00,0,25,32,919-555-0140,Work,ed0@adventure-works.com
145,26,Cynthia,S,Randall,,Production Supervisor - WC30,386315192,1975-09-19,S,F,2/28/2003 0:00,0,69,54,352-555-0138,Cell,cynthia0@adventure-works.com
42,26,James,D,Kramer,,Production Technician - WC60,339712426,1978-08-26,M,M,1/28/2003 0:00,0,39,39,119-555-0117,Cell,james0@hotmail.com
8,25,Diane,L,Margheim,,Research and Development Engineer,811994146,1980-07-06,S,F,1/30/2003 0:00,1,62,51,815-555-0138,Cell,diane1@adventure-works.com
149,26,Andy,M,Ruth,,Production Technician - WC30,764853868,1977-11-20,M,M,3/4/2003 0:00,0,39,39,118-555-0110,Cell,andy0@adventure-works.com
54,26,Bonnie,N,Kearney,,Production Technician - WC10,109272464,1980-10-11,M,F,2/2/2004 0:00,0,89,64,264-555-0150,Work,bonnie0@hotmail.com
110,26,Jun,T,Cao,,Production Technician - WC50,857651804,1973-08-06,S,M,1/15/2003 0:00,0,90,65,299-555-0113,Work,jun0@adventure-works.com
180,26,Katie,L,McAskill-White,,Production Supervisor - WC20,862951447,1978-12-20,S,F,3/24/2003 0:00,0,42,41,809-555-0133,Work,katie0@adventure-works.com
287,273,Amy,E,Alberts,,European Sales Manager,982310417,1951-10-22,M,F,5/18/2006 0:00,1,21,30,775-555-0164,Work,amy0@yahoo.com
152,26,Yuhong,L,Li,,Production Supervisor - WC20,319472946,1971-05-08,M,M,3/5/2003 0:00,0,41,40,965-555-0155,Cell,yuhong0@adventure-works.com
171,26,David,A,Yalovsky,,Production Technician - WC30,746373306,1975-09-04,S,M,2/3/2003 0:00,0,32,36,373-555-0142,Work,david3@adventure-works.com
130,26,Rob,T,Caron,,Production Technician - WC40,578953538,1967-09-05,S,M,3/17/2003 0:00,0,71,55,238-555-0116,Work,rob1@adventure-works.com
55,26,Taylor,R,Maxwell,,Production Supervisor - WC50,233069302,1950-05-03,M,M,3/11/2002 0:00,0,79,59,508-555-0165,Work,taylor0@adventure-works.com
211,25,Hazem,E,Abolrous,,Quality Assurance Manager,398223854,1971-11-27,S,M,4/1/2003 0:00,1,80,60,869-555-0125,Work,hazem0@yahoo.com
79,26,Eric,L,Brown,,Production Technician - WC40,697712387,1961-01-08,M,M,2/25/2004 0:00,0,60,50,680-555-0118,Cell,eric1@adventure-works.com
36,26,Jose,R,Lugo,,Production Technician - WC60,788456780,1978-09-01,M,M,3/14/2003 0:00,0,20,30,587-555-0115,Cell,jose0@adventure-works.com
90,26,Danielle,C,Tiedt,,Production Technician - WC10,82638150,1980-10-08,S,F,3/23/2004 0:00,0,97,68,500-555-0172,Cell,danielle0@adventure-works.com
92,26,Tom,M,Vande Velde,,Production Technician - WC10,826454897,1980-11-01,M,M,4/10/2004 0:00,0,98,69,295-555-0161,Work,tom0@adventure-works.com
267,263,Karen,A,Berg,,Application Specialist,58317344,1972-06-19,S,F,3/20/2003 0:00,1,74,57,654-555-0177,Work,karen1@adventure-works.com
68,26,Charles,B,Fitzgerald,,Production Technician - WC60,537092325,1965-10-03,S,M,1/4/2004 0:00,0,27,33,931-555-0118,Work,charles0@adventure-works.com
250,249,Sheela,H,Word,,Purchasing Manager,895209680,1972-03-13,S,F,3/28/2005 0:00,1,49,44,210-555-0193,Work,sheela0@aol.com
60,26,Pete,C,Male,,Production Technician - WC50,827686041,1971-03-07,S,M,2/12/2003 0:00,0,13,26,768-555-0123,Cell,pete0@adventure-works.com
120,26,Kitti,H,Lertpiriyasuwat,,Production Technician - WC50,211789056,1981-07-07,S,F,4/5/2003 0:00,0,89,64,785-555-0132,Work,kitti0@adventure-works.com
98,26,Sameer,A,Tejani,,Production Technician - WC50,152085091,1972-07-27,M,M,3/15/2003 0:00,0,4,22,990-555-0172,Cell,sameer0@adventure-works.com
121,250,Pilar,G,Ackerman,,Shipping and Receiving Supervisor,521265716,1966-10-11,S,M,2/3/2003 0:00,1,93,66,577-555-0185,Work,pilar0@yahoo.com
197,26,Rajesh,M,Patel,,Production Technician - WC40,632092621,1971-11-05,M,M,2/1/2003 0:00,0,48,44,373-555-0137,Cell,rajesh0@aol.com
240,235,Willis,T,Johnson,,Recruiter,332040978,1972-08-18,S,M,1/14/2003 0:00,0,49,44,778-555-0141,Work,willis0@adventure-works.com
11,25,Ovidiu,V,Cracium,,Senior Tool Designer,974026903,1972-02-18,S,M,1/5/2005 0:00,0,7,23,719-555-0181,Cell,ovidiu0@adventure-works.com
52,26,Doris,M,Hartwig,,Production Technician - WC10,565090917,1950-05-06,M,F,4/11/2002 0:00,0,86,63,328-555-0150,Cell,doris0@adventure-works.com
77,26,Merav,A,Netz,,Production Technician - WC30,301435199,1977-06-13,M,F,4/4/2003 0:00,0,46,43,224-555-0187,Work,merav0@adventure-works.com
56,26,Denise,H,Smith,,Production Technician - WC50,652535724,1982-08-07,M,F,3/9/2003 0:00,0,9,24,869-555-0119,Cell,denise0@safe-mail.net
6,25,Jossef,H,Goldberg,,Design Engineer,998320692,1953-04-11,M,M,2/24/2002 0:00,1,6,23,122-555-0189,Work,jossef0@adventure-works.com
88,26,Betsy,A,Stadick,,Production Technician - WC10,294148271,1961-01-17,S,F,1/19/2004 0:00,0,99,69,405-555-0171,Cell,betsy0@safe-mail.net
34,26,Suchitra,O,Mohan,,Production Technician - WC60,754372876,1981-07-11,M,F,3/20/2003 0:00,0,15,27,753-555-0129,Cell,suchitra0@adventure-works.com
4,25,Rob,,Walters,,Senior Tool Designer,112457891,1969-01-23,S,M,1/5/2002 0:00,0,48,80,612-555-0100,Cell,rob0@aol.com
84,26,Frank,R,Martinez,,Production Technician - WC40,947029962,1946-04-03,M,M,3/8/2004 0:00,0,66,53,203-555-0196,Work,frank3@adventure-works.com
281,274,Shu,K,Ito,,Sales Representative,139397894,1962-04-10,M,M,10/1/2005 0:00,1,26,33,330-555-0120,Cell,shu0@adventure-works.com
51,26,Jeffrey,L,Ford,,Production Technician - WC10,132674823,1950-08-12,S,M,3/23/2002 0:00,0,85,62,984-555-0185,Work,jeffrey0@adventure-works.com
117,26,Chad,W,Niswonger,,Production Technician - WC50,599942664,1984-09-04,M,M,3/22/2003 0:00,0,99,69,559-555-0175,Work,chad0@adventure-works.com
74,26,Bjorn,M,Rettig,,Production Technician - WC30,420023788,1983-12-08,S,M,2/8/2003 0:00,0,43,41,199-555-0117,Work,bjorn0@adventure-works.com
271,263,Dan,B,Wilson,,Database Administrator,929666391,1970-02-06,M,M,2/23/2003 0:00,1,66,53,653-555-0144,Work,dan1@aol.com
57,26,Frank,T,Miller,,Production Technician - WC50,10708100,1965-08-24,S,M,3/27/2003 0:00,0,10,25,167-555-0139,Work,frank1@adventure-works.com
272,263,Janaina,Barreiro  Gambaro,Bueno,,Application Specialist,525932996,1979-03-03,M,F,1/24/2003 0:00,1,71,55,623-555-0155,Work,janaina0@adventure-works.com
